X_Chasman	Y_Chasman	ErrorX_Chasman	ErrorY_Chasman	X_Messous	Y_Messous	ErrorX_Messous	ErrorY_Messous	X_Sattler	Y_Sattler	ErrorX_Sattler	ErrorY_Sattler	X_Baudis	Y_Baudis	ErrorX_Baudis	ErrorY_Baudis	X_Texono	Y_Texono	ErrorX_Texono	ErrorY_Texono	X_Cogent	Y_Cogent	ErrorX_Cogent	ErrorY_Cogent	X_Jones	Y_Jones	ErrorX_Jones	ErrorY_Jones	X_CDMS2	Y_CDMS2	ErrorX_CDMS2	ErrorY_CDMS2	X_Simon	Y_Simon	ErrorX_Simon	ErrorY_Simon	X_Shutt	Y_Shutt	ErrorX_Shutt	ErrorY_Shutt	X_EDELWEISS07	Y_EDELWEISS07	ErrorX_EDELWEISS07	ErrorY_EDELWEISS07	X_CollarIF	Y_CollarIF	ErrorX_CollarIF	ErrorY_CollarIF	X_CollarTN	Y_CollarTN	ErrorX_CollarTN	ErrorY_CollarTN
10	0.2	0.2	0.02	2.9	0.295	0	0.115	21.4	0.149	0	0.057	59.3	0.318	4	0.02	1.3	0.209	0	0.03	0.63	0.174	0	0.016	0.254	0.154	0	0.022	2.2	0.156	0	0.014	76	0.301	2	0.04	17.5	0.25	0	0.01	12.8	0.231	0	0.077	0.957	0.251	0.089	0.014	0.2541	0.303	0.0015	0.079
17.6	0.23	0.07	0.03	5.3	0.25	0	0.06	26.8	0.175	0	0.027	67.4	0.322	5.2	0.02	3.2	0.239	0	0.018	0.73	0.184	0	0.027	0.96	0.176	0.05	0.02	2.7	0.158	0	0.006	80	0.328	2	0.009	22.5	0.275	0	0.005	17.4	0.263	0	0.029	0.748	0.3	0.087	0.022				
19.4	0.24	0.07	0.03	9	0.24	0	0.01	32.2	0.215	0	0.022	75.5	0.316	5.8	0.02	3.7	0.236	0	0.018	0.99	0.192	0	0.024	1.04	0.215	0.1	0.02	3.3	0.162	0	0.009	94	0.347	3	0.008	27	0.285	0	0.005	24.4	0.29	0	0.012	0.592	0.317	0.079	0.022				
22.5	0.25	0.07	0.02	14	0.26	0	0.01	32.2	0.224	0	0.022	77.3	0.336	0	0	8	0.265	0	0.015	1.22	0.198	0	0.014	1.12	0.246	0.05	0.02	3.7	0.171	0	0.006	100	0.314	3	0.014	35	0.305	0	0.005	34.4	0.314	0	0.014	0.45	0.35	0.07	0.04				
24.1	0.27	0.07	0.02	17	0.24	0	0.01	37.5	0.223	0	0.03	79	0.328	0	0.016	8.3	0.245	0	0.015					1.22	0.223	0.05	0.02	4.3	0.175	0	0.005	104	0.314	3	0.012	45	0.315	0	0.005	48.8	0.339	0	0.013								
29.8	0.28	0.07	0.02	21.5	0.25	0	0.015	42.9	0.234	0	0.027	83	0.332	4.6	0.02	12	0.259	0	0.011					1.35	0.259	0.05	0.03	4.8	0.177	0	0.005	123	0.337	4	0.007	55	0.33	0	0.01	68.7	0.364	0	0.017								
				27.5	0.265	0	0.01	48.2	0.249	0	0.021	85.4	0.348	0	0.012	20	0.283	0	0.011					1.48	0.226	0.05	0.02	4.8	0.181	0	0.005					70	0.34	0	0.01	89.1	0.38	0	0.014								
				27.5	0.27	0	0.01	54.3	0.235	0	0.021	88.3	0.338	0	0.02	23	0.288	0	0.015					1.62	0.269	0.05	0.03	5.3	0.192	0	0.004									119.3	0.398	0	0.016								
				33	0.265	0	0	80.4	0.281	0	0.015	92.9	0.342	3.48	0.012	29	0.305	0	0.009					1.75	0.186	0.2	0.02	5.6	0.19	0	0.006									170.1	0.404	0	0.031								
				38	0.285	0	0	107	0.274	0	0.03	93.5	0.352	0	0.008	30	0.29	0	0.009									5.7	0.196	0	0.005																				
								161	0.312	0	0.03	103	0.346	0	0.008	33	0.295	0	0.011									6.3	0.2	0	0.005																				
								268	0.422	0	0.045	105.2	0.34	4.64	0.016	35	0.312	0	0.011									6.4	0.198	0	0.007																				
								321	0.438	0	0.039	111.6	0.356	0	0.016	50	0.317	0	0.014									6.7	0.208	0	0.005																				
								342	0.46	0	0.044	114	0.35	4.64	0	62	0.33	0	0.012									7.1	0.212	0	0.008																				
								765	0.555	0	0.045	123.2	0.356	0	0	70	0.344	0	0.015									7.2	0.215	0	0.005																				
								916	0.692	0	0.045	126.7	0.344	4.64	0.014	85	0.338	0	0.021									7.5	0.221	0	0.004																				
								921	0.692	0	0.045	130.2	0.362	0	0	90	0.351	0	0.015									7.8	0.221	0	0.006																				
								997	0.68	0	0.045	135.4	0.368	4.64	0.016	95	0.353	0	0.012									8.5	0.227	0	0.004																				
												137	0.364	0	0	103	0.368	0	0.015									8.9	0.229	0	0.006																				
												145	0.384	4.64	0.02	105	0.374	0	0.018									9.3	0.231	0	0.003																				
												147.6	0.38	0	0													10.4	0.239	0	0.003																				
												155.8	0.384	7	0.016													10.6	0.239	0	0.0004																				
												158	0.378	0	0													11.4	0.24	0	0.002																				
												174.4	0.378	0	0													12.1	0.244	0	0.004																				
												185	0.388	2.32	0													12.4	0.252	0	0.003																				
												197.6	0.404	2.32	0													13.3	0.254	0	0.003																				
																												13.6	0.254	0	0.004																				
																												14.3	0.258	0	0.003																				
																												15.1	0.262	0	0.005																				
																												17.2	0.265	0	0.003																				
																												20.2	0.277	0	0.003																				
