X_Lindhard	Y_Lindhard	X_EDELWEISS17	Y_EDELWEISS17	X_Scholz	Y_Scholz	X_ScholzUpper	Y_ScholzUpper	X_ScholzLower	Y_ScholzLower	X_CollarPN	Y_CollarPN	X_CollarPNUpper	Y_CollarPNUpper	X_CollarPNLower	Y_CollarPNLower
0	0	0	0	0	0.25607	0	9	0	0.253526	0.69698	0.2174	0.57576	0.26317	0.81819	0.18519
0.1	0.125863	0.1	0.105711	0.1	0.0655025	0.1	0.135264	0.1	0.0453042	1.1212	0.18919	1	0.21212	1.2424	0.17073
0.2	0.138072	0.2	0.119758	0.2	0.110135	0.2	0.153433	0.2	0.0833814	1.4849	0.18367	1.3637	0.19999	1.6061	0.16981
0.3	0.145726	0.3	0.128825	0.3	0.137788	0.3	0.161976	0.3	0.112141	1.8485	0.18033	1.6667	0.2	1.9697	0.16923
0.4	0.151403	0.4	0.135672	0.4	0.155086	0.4	0.168168	0.4	0.13354	2.0909	0.18841	1.9697	0.2	2.2121	0.17808
0.5	0.155955	0.5	0.141232	0.5	0.166284	0.5	0.173122	0.5	0.149464	2.3334	0.1948	2.2121	0.20548	2.4546	0.18518
0.6	0.159775	0.6	0.145944	0.6	0.173904	0.6	0.177274	0.6	0.161404	2.6364	0.1954	2.5152	0.20482	2.697	0.19101
0.7	0.163078	0.7	0.150051	0.7	0.179405	0.7	0.180861	0.7	0.170471	2.8788	0.2	2.7576	0.20879	2.9394	0.19588
0.8	0.165995	0.8	0.153701	0.8	0.183624	0.8	0.184026	0.8	0.17747	3.1212	0.20389	3	0.21212	3.1818	0.2
0.9	0.168613	0.9	0.156994	0.9	0.187041	0.9	0.186865	0.9	0.182981	3.3637	0.20721	3.2425	0.21495	3.4243	0.20354
1	0.170991	1	0.16	1	0.189936	1	0.189441	1	0.187417	3.6061	0.21008	3.4849	0.21739	3.6667	0.20661
1.1	0.173173	1.1	0.162769	1.1	0.192475	1.1	0.191804	1.1	0.19107	3.8485	0.2126	3.7879	0.216	3.9091	0.2093
1.2	0.17519	1.2	0.165338	1.2	0.194758	1.2	0.193987	1.2	0.19415	4.0909	0.21482	4.0303	0.21805	4.1516	0.21168
1.3	0.177068	1.3	0.167737	1.3	0.196846	1.3	0.196019	1.3	0.196805	4.3334	0.21678	4.2728	0.21986	4.394	0.21379
1.4	0.178826	1.4	0.16999	1.4	0.19878	1.4	0.19792	1.4	0.199139	4.5758	0.21854	4.5152	0.22147	4.6364	0.21568
1.5	0.18048	1.5	0.172114	1.5	0.200588	1.5	0.199708	1.5	0.201228	4.8182	0.22012	4.7576	0.22293	4.8788	0.21739
1.6	0.182043	1.6	0.174125	1.6	0.20229	1.6	0.201396	1.6	0.203127	5.0607	0.22155	5	0.22424	5.1213	0.21893
1.7	0.183524	1.7	0.176036	1.7	0.203899	1.7	0.202996	1.7	0.204876	5.3031	0.22285	5.2425	0.22543	5.3637	0.22033
1.8	0.184933	1.8	0.177856	1.8	0.205427	1.8	0.204517	1.8	0.206502	5.5455	0.22404	5.4849	0.22651	5.6061	0.22162
