X_SbBe70V	Y_SbBe70V	ErrorX_SbBe70V	ErrorY_SbBe70V	X_Sb70V	Y_Sb70V	ErrorX_Sb70V	ErrorY_Sb70V	X_YBe70V	Y_YBe70V	ErrorX_YBe70V	ErrorY_YBe70V	X_Y70V	Y_Y70V	ErrorX_Y70V	ErrorY_Y70V	X_YBe25V	Y_YBe25V	ErrorX_YBe25V	ErrorY_YBe25V	X_Y25V	Y_Y25V	ErrorX_Y25V	ErrorY_Y25V
0.75	0.903197	0	0.00153676	0.75	0.929806	0	0.002418	1.5	0.894933	0	0.00536556	1.5	0.892803	0	0.00941477	0.75	0.919898	0	0.00731003	1.75	0.922944	0	0.00919322
4.75	0.903147	0	0.0015369	4.75	0.9298	0	0.00241813	2.5	0.894966	0	0.0053649	2.5	0.892816	0	0.00941481	1.75	0.919895	0	0.0073116	2.75	0.92297	0	0.00918854
8.75	0.903048	0	0.00153719	8.75	0.929788	0	0.00241838	3.5	0.895031	0	0.0053636	3.5	0.892843	0	0.00941491	2.75	0.919888	0	0.0073147	3.75	0.923009	0	0.00917911
12.75	0.902902	0	0.00153762	12.75	0.929771	0	0.00241874	4.5	0.895128	0	0.00536166	4.5	0.892882	0	0.00941506	3.75	0.919877	0	0.00731933	4.75	0.92306	0	0.00916504
16.75	0.902708	0	0.00153818	16.75	0.929748	0	0.00241921	5.5	0.895255	0	0.00535911	5.5	0.892932	0	0.00941526	4.75	0.919864	0	0.0073254	5.75	0.923122	0	0.00914669
20.75	0.90247	0	0.00153887	20.75	0.929721	0	0.00241979	6.5	0.895411	0	0.005356	6.5	0.892993	0	0.00941552	5.75	0.919847	0	0.00733294	6.75	0.923194	0	0.00912421
24.75	0.90219	0	0.00153967	24.75	0.929689	0	0.00242044	7.5	0.895595	0	0.00535237	7.5	0.893062	0	0.00941587	6.75	0.919827	0	0.00734186	7.75	0.923274	0	0.00909785
28.75	0.901869	0	0.00154058	28.75	0.929654	0	0.00242117	8.5	0.895803	0	0.00534826	8.5	0.89314	0	0.0094163	7.75	0.919805	0	0.00735208	8.75	0.92336	0	0.00906792
32.75	0.901513	0	0.00154159	32.75	0.929617	0	0.00242194	9.5	0.896034	0	0.00534373	9.5	0.893224	0	0.00941682	8.75	0.919782	0	0.00736355	9.75	0.923453	0	0.00903492
36.75	0.901122	0	0.00154267	36.75	0.929577	0	0.00242274	10.5	0.896285	0	0.00533883	10.5	0.893312	0	0.00941744	9.75	0.919756	0	0.00737622	10.75	0.923549	0	0.00899916
40.75	0.900703	0	0.00154382	40.75	0.929537	0	0.00242355	11.5	0.896553	0	0.00533362	11.5	0.893402	0	0.00941818	10.75	0.919729	0	0.00738997	11.75	0.923647	0	0.00896104
44.75	0.900257	0	0.00154502	44.75	0.929498	0	0.00242434	12.5	0.896837	0	0.00532818	12.5	0.893494	0	0.00941905	11.75	0.919701	0	0.00740472	12.75	0.923745	0	0.00892096
48.75	0.899791	0	0.00154625	48.75	0.92946	0	0.00242509	13.5	0.897132	0	0.00532256	13.5	0.893584	0	0.00942004	12.75	0.919673	0	0.00742035	13.75	0.923843	0	0.0088794
52.75	0.899306	0	0.0015475	52.75	0.929426	0	0.00242578	14.5	0.897436	0	0.00531682	14.5	0.893673	0	0.00942117	13.75	0.919645	0	0.00743678	14.75	0.923937	0	0.00883672
56.75	0.89881	0	0.00154874	56.75	0.929398	0	0.00242637	15.5	0.897747	0	0.00531103	15.5	0.893758	0	0.00942242	14.75	0.919617	0	0.00745393	15.75	0.924028	0	0.00879344
60.75	0.898304	0	0.00154996	60.75	0.929377	0	0.00242684	16.5	0.898061	0	0.00530524	16.5	0.893839	0	0.00942379	15.75	0.919591	0	0.00747166	16.75	0.924113	0	0.00874994
64.75	0.897795	0	0.00155114	64.75	0.929365	0	0.00242716	17.5	0.898376	0	0.00529949	17.5	0.893914	0	0.0094253	16.75	0.919566	0	0.00748986	17.75	0.924191	0	0.00870653
68.75	0.897287	0	0.00155225	68.75	0.929365	0	0.00242731	18.5	0.89869	0	0.00529384	18.5	0.893983	0	0.00942691	17.75	0.919543	0	0.00750844	18.75	0.924262	0	0.00866366
72.75	0.896784	0	0.00155328	72.75	0.929378	0	0.00242724	19.5	0.899	0	0.00528833	19.5	0.894044	0	0.00942865	18.75	0.919523	0	0.00752725	19.75	0.924325	0	0.00862151
76.75	0.89629	0	0.0015542	76.75	0.929406	0	0.00242695	20.5	0.899305	0	0.00528298	20.5	0.894099	0	0.00943051	19.75	0.919506	0	0.0075462	20.75	0.924379	0	0.00858037
80.75	0.895809	0	0.00155501	80.75	0.929453	0	0.00242639	21.5	0.899603	0	0.00527783	21.5	0.894147	0	0.00943243	20.75	0.919493	0	0.00756518	21.75	0.924425	0	0.0085405
84.75	0.895346	0	0.00155567	84.75	0.929519	0	0.00242556	22.5	0.899893	0	0.00527289	22.5	0.894188	0	0.00943442	21.75	0.919484	0	0.00758406	22.75	0.924461	0	0.0085021
88.75	0.894905	0	0.00155617	88.75	0.929608	0	0.00242441	23.5	0.900174	0	0.00526818	23.5	0.894223	0	0.0094365	22.75	0.919481	0	0.00760274	23.75	0.924489	0	0.00846529
92.75	0.894488	0	0.00155648	92.75	0.929721	0	0.00242293	24.5	0.900444	0	0.0052637	24.5	0.894252	0	0.0094386	23.75	0.919482	0	0.0076211	24.75	0.92451	0	0.00843006
96.75	0.8941	0	0.0015566	96.75	0.92986	0	0.00242109	25.5	0.900703	0	0.00525945	25.5	0.894277	0	0.00944071	24.75	0.919489	0	0.00763899	25.75	0.924522	0	0.00839659
100.75	0.893744	0	0.0015565	100.75	0.930028	0	0.00241889	26.5	0.900951	0	0.00525542	26.5	0.894298	0	0.00944283	25.75	0.919502	0	0.00765629	26.75	0.924528	0	0.00836485
104.75	0.893423	0	0.00155617	104.75	0.930226	0	0.00241628	27.5	0.901188	0	0.0052516	27.5	0.894317	0	0.00944493	26.75	0.919523	0	0.00767292	27.75	0.924529	0	0.00833485
108.75	0.89314	0	0.00155559	108.75	0.930455	0	0.00241326	28.5	0.901415	0	0.00524796	28.5	0.894335	0	0.009447	27.75	0.91955	0	0.00768874	28.75	0.924526	0	0.0083065
112.75	0.892896	0	0.00155475	112.75	0.930717	0	0.00240981	29.5	0.901632	0	0.0052445	29.5	0.894354	0	0.00944901	28.75	0.919586	0	0.00770367	29.75	0.924521	0	0.00827976
