X_SbBe	Y_SbBeER	Y_SbBeNRsingle	Y_SbBeNRmultiple	Y_SbBeAll	X_YBe	Y_YBeER	Y_YBeNRsingle	Y_YBeNRmultiple	Y_YBeAll
0.025	208735	37515	31358	398421	0.05	300899	47499	41369	551527
0.075	10	5950	2959	10216	0.15	23	5542	2845	10870
0.125	13	4578	1898	7610	0.25	20	4196	1797	7801
0.175	6	3965	1558	6594	0.35	21	3614	1522	6557
0.225	12	3892	1525	6311	0.45	21	3025	1332	5476
0.275	3	3797	1560	6140	0.55	16	2806	1246	4361
0.325	7	3678	1659	6167	0.65	18	2891	1175	4263
0.375	6	3590	1793	5847	0.75	20	2803	1241	4392
0.425	10	3302	2022	6148	0.85	26	2555	1071	3799
0.475	17	3240	2094	5686	0.95	47	2396	1047	3602
0.525	10	3058	2160	5511	1.05	63	2416	1003	3605
0.575	12	2938	2286	5447	1.15	24	2243	985	3365
0.625	5	2828	2254	5289	1.25	16	2188	978	3280
0.675	9	2468	2420	5083	1.35	14	2186	893	3200
0.725	9	2012	2468	4678	1.45	21	2141	963	3215
0.775	13	1979	2598	4811	1.55	19	2030	952	3087
0.825	6	1540	2468	4167	1.65	17	2066	971	3145
0.875	9	1320	2343	3809	1.75	14	2033	903	3028
0.925	17	904	2336	3379	1.85	22	2074	1000	3181
0.975	14	671	2273	3057	1.95	19	1900	954	2957
1.025	15	494	2206	2812	2.05	24	1888	990	2991
1.075	25	342	2147	2589	2.15	25	1966	936	2984
1.125	13	153	2019	2276	2.25	15	1902	1027	3005
1.175	9	87	1946	2108	2.35	17	1813	1001	2903
1.225	12	35	1854	1973	2.45	15	1831	1009	2917
1.275	7	5	1806	1880	2.55	12	1733	995	2802
1.325	9	2	1759	1829	2.65	19	1794	990	2861
1.375	7	2	1557	1629	2.75	18	1709	983	2757
1.425	4	1	1525	1591	2.85	23	1711	1029	2815
1.475	6	0	1478	1535	2.95	20	1643	1028	2745
1.525	7	0	1370	1431	3.05	25	1629	1036	2735
1.575	12	1	1217	1279	3.15	17	1624	1027	2723
1.625	11	0	1164	1217	3.25	17	1603	1047	2711
1.675	5	0	1141	1184	3.35	21	1560	1039	2672
1.725	7	0	1041	1093	3.45	18	1504	1070	2635
1.775	10	0	1006	1063	3.55	22	1503	1069	2620
1.825	6	1	982	1023	3.65	13	1446	1038	2543
1.875	3	0	847	881	3.75	16	1297	1016	2367
1.925	7	0	897	939	3.85	18	1330	1082	2471
1.975	8	0	754	784	3.95	20	1280	1038	2378
2.025	8	0	774	811	4.05	22	1171	1010	2224
2.075	6	0	704	737	4.15	24	1239	1039	2336
2.125	7	0	711	736	4.25	19	1225	1070	2354
2.175	12	0	642	681	4.35	22	1155	1080	2295
2.225	9	0	544	576	4.45	20	1080	959	2095
2.275	8	0	514	539	4.55	22	1027	1092	2170
2.325	9	0	530	562	4.65	25	995	1066	2123
2.375	8	0	494	523	4.75	16	969	1031	2050
2.425	7	0	515	544	4.85	20	941	1010	1993
2.475	11	0	477	502	4.95	21	890	1023	1972
2.525	5	0	427	449	5.05	12	890	1014	1951
2.575	5	0	394	414	5.15	23	836	1004	1911
2.625	5	0	384	396	5.25	19	826	1012	1893
2.675	7	0	359	377	5.35	26	724	965	1737
2.725	6	0	356	371	5.45	12	699	989	1728
2.775	7	0	346	363	5.55	11	641	1028	1703
2.825	6	0	325	341	5.65	21	641	1008	1697
2.875	10	0	321	348	5.75	19	571	932	1550
2.925	5	0	275	291	5.85	29	508	980	1543
2.975	9	0	235	257	5.95	16	479	917	1434
3.025	4	0	220	233	6.05	8	420	925	1375
3.075	4	0	214	222	6.15	25	412	997	1453
3.125	8	0	201	216	6.25	25	374	939	1359
3.175	5	0	211	227	6.35	20	342	871	1265
3.225	4	0	173	185	6.45	32	286	866	1206
3.275	9	0	207	220	6.55	23	276	906	1224
3.325	4	0	174	183	6.65	24	205	876	1127
3.375	7	0	167	182	6.75	22	175	898	1107
3.425	13	0	158	177	6.85	20	175	792	1008
3.475	4	0	162	171	6.95	19	154	790	978
3.525	9	0	143	158	7.05	29	121	772	941
3.575	7	0	125	135	7.15	16	81	792	904
3.625	5	0	123	130	7.25	28	86	786	919
3.675	9	0	96	113	7.35	15	70	692	806
3.725	11	0	97	110	7.45	24	38	710	786
3.775	13	0	96	115	7.55	25	38	762	845
3.825	6	0	105	117	7.65	18	25	685	740
3.875	6	0	94	102	7.75	31	26	685	758
3.925	8	0	85	95	7.85	32	24	751	816
3.975	7	0	89	97	7.95	36	12	686	746
4.025	6	0	78	87	8.05	21	14	706	765
4.075	7	0	83	91	8.15	20	3	631	669
4.125	11	0	70	86	8.25	24	4	651	694
4.175	8	0	53	63	8.35	24	0	609	644
4.225	7	0	66	78	8.45	22	2	564	600
4.275	3	0	50	54	8.55	22	0	589	625
4.325	8	0	68	76	8.65	22	0	548	583
4.375	10	0	56	70	8.75	37	0	554	599
4.425	11	0	49	62	8.85	44	0	562	621
4.475	2	0	46	48	8.95	114	0	543	671
4.525	3	0	40	43	9.05	105	0	530	648
4.575	5	0	47	53	9.15	91	0	509	612
4.625	6	0	33	42	9.25	23	0	502	534
4.675	9	0	30	40	9.35	22	0	537	570
4.725	8	0	38	47	9.45	20	0	489	513
4.775	9	0	31	42	9.55	19	0	453	477
4.825	1	0	28	31	9.65	21	0	441	475
4.875	8	0	34	44	9.75	19	0	422	455
4.925	13	0	25	40	9.85	24	0	393	426
4.975	10	0	34	47	9.95	29	0	393	431
5.025	10	0	34	45	10.05	89	0	398	501
5.075	6	0	18	24	10.15	287	0	377	674
5.125	12	0	11	23	10.25	201	0	403	612
5.175	8	0	25	34	10.35	30	0	380	417
5.225	4	0	18	22	10.45	23	0	385	417
5.275	4	0	14	19	10.55	19	0	375	403
5.325	5	0	15	21	10.65	22	0	339	370
5.375	8	0	19	27	10.75	24	0	339	377
5.425	8	0	17	27	10.85	25	0	333	363
5.475	9	0	16	27	10.95	27	0	324	358
5.525	3	0	18	22	11.05	24	0	314	348
5.575	9	0	10	21	11.15	27	0	313	347
5.625	6	0	11	17	11.25	21	0	322	349
5.675	6	0	15	22	11.35	18	0	301	328
5.725	10	0	12	22	11.45	13	0	319	338
5.775	6	0	8	14	11.55	15	0	291	311
5.825	7	0	9	16	11.65	29	0	290	327
5.875	10	0	8	18	11.75	9	0	280	297
5.925	5	0	8	13	11.85	19	0	232	259
5.975	2	0	5	8	11.95	16	0	239	264
6.025	13	0	7	20	12.05	33	0	266	300
6.075	11	0	5	17	12.15	23	0	246	275
6.125	8	0	7	15	12.25	19	0	250	273
6.175	7	0	9	16	12.35	19	0	202	226
6.225	5	0	3	8	12.45	19	0	246	268
6.275	7	0	8	17	12.55	22	0	206	232
6.325	8	0	3	11	12.65	28	0	202	234
6.375	13	0	6	19	12.75	14	0	223	246
6.425	10	0	3	13	12.85	22	0	229	256
6.475	6	0	8	14	12.95	27	0	193	224
6.525	7	0	2	9	13.05	26	0	181	211
6.575	10	0	3	13	13.15	18	0	182	203
6.625	8	0	1	9	13.25	276	0	211	493
6.675	6	0	6	12	13.35	88	0	197	288
6.725	6	0	5	11	13.45	22	0	161	185
6.775	7	0	3	10	13.55	22	0	194	218
6.825	4	0	2	6	13.65	21	0	149	175
6.875	7	0	0	7	13.75	23	0	158	188
6.925	8	0	3	11	13.85	14	0	170	188
6.975	10	0	2	12	13.95	19	0	161	184
7.025	7	0	0	7	14.05	21	0	154	176
7.075	8	0	2	10	14.15	25	0	138	166
7.125	8	0	3	11	14.25	26	0	154	182
7.175	4	0	2	6	14.35	28	0	139	168
7.225	7	0	3	10	14.45	17	0	130	152
7.275	9	0	0	9	14.55	20	0	136	160
7.325	6	0	1	7	14.65	14	0	114	131
7.375	5	0	2	7	14.75	20	0	123	145
7.425	10	0	1	11	14.85	20	0	129	150
7.475	4	0	0	4	14.95	25	0	128	156
7.525	10	0	1	11	15.05	26	0	131	160
7.575	7	0	1	8	15.15	15	0	120	140
7.625	6	0	1	7	15.25	23	0	131	160
7.675	3	0	2	5	15.35	12	0	101	115
7.725	6	0	0	6	15.45	24	0	102	129
7.775	11	0	0	11	15.55	17	0	102	122
7.825	13	0	0	13	15.65	16	0	114	133
7.875	25	0	0	25	15.75	19	0	99	124
7.925	25	0	0	25	15.85	20	0	103	125
7.975	5	0	0	5	15.95	22	0	95	118
8.025	9	0	1	10	16.05	13	0	85	99
8.075	10	0	0	10	16.15	18	0	82	100
8.125	8	0	1	9	16.25	28	0	94	122
8.175	11	0	0	11	16.35	26	0	92	120
8.225	14	0	1	15	16.45	15	0	82	100
8.275	9	0	0	9	16.55	18	0	90	111
8.325	4	0	0	4	16.65	22	0	82	106
8.375	9	0	0	9	16.75	21	0	88	110
8.425	9	0	1	10	16.85	22	0	70	93
8.475	6	0	0	6	16.95	27	0	96	125
8.525	5	0	1	6	17.05	27	0	72	100
8.575	4	0	0	4	17.15	19	0	75	96
8.625	7	0	2	9	17.25	22	0	65	87
8.675	4	0	0	4	17.35	25	0	66	92
8.725	5	0	1	6	17.45	24	0	52	77
8.775	13	0	0	13	17.55	16	0	55	72
8.825	12	0	0	13	17.65	22	0	63	87
8.875	18	0	0	18	17.75	20	0	60	82
8.925	36	0	0	36	17.85	15	0	51	67
8.975	72	0	0	72	17.95	20	0	55	75
9.025	37	0	0	37	18.05	26	0	66	92
9.075	80	0	0	80	18.15	25	0	57	83
9.125	19	0	0	19	18.25	24	0	63	89
9.175	79	0	0	79	18.35	15	0	67	82
9.225	9	0	0	9	18.45	16	0	49	65
9.275	7	0	0	7	18.55	19	0	51	72
9.325	8	0	1	9	18.65	24	0	47	72
9.375	4	0	0	4	18.75	23	0	57	80
9.425	6	0	0	6	18.85	21	0	58	80
9.475	9	0	0	9	18.95	17	0	45	63
9.525	11	0	0	11	19.05	14	0	35	49
9.575	9	0	1	10	19.15	26	0	50	78
9.625	3	0	0	3	19.25	33	0	38	71
9.675	4	0	0	4	19.35	35	0	35	73
9.725	7	0	1	8	19.45	19	0	41	62
9.775	5	0	0	5	19.55	27	0	34	62
9.825	7	0	0	7	19.65	27	0	48	76
9.875	4	0	0	4	19.75	21	0	33	55
9.925	9	0	1	10	19.85	27	0	36	65
9.975	16	0	0	16	19.95	24	0	41	65
