X_Sb70V	Y_Sb70V	ErrorX_Sb70V	ErrorY_Sb70V	X_Sb70Vmodel	Y_Sb70VCompton	Y_Sb70VEC	Y_Sb70VBkgmodel	X_Y70V	Y_Y70V	ErrorX_Y70V	ErrorY_Y70V	X_Y70VModel	Y_Y70VCompton	Y_Y70VEC	Y_Y70VBkgmodel	X_Y25V	Y_Y25V	ErrorX_Y25V	ErrorY_Y25V	X_Y25VModel	Y_Y25VCompton	Y_Y25VEC	Y_Y25VBkgmodel
2.56287	382.683	0.152868	35.3791	2.56287	264.597	0.000558663	313.854	4.14479	372.056	1.37479	11.6324	4.14479	406.582	3.76245	390.433	2.96266	704.117	0.762657	21.4854	2.96266	759.048	0	709.99
2.8686	258.393	0.152868	29.0715	2.60149	264.608	0.00094044	312.56	6.89437	373.147	1.37479	11.6495	4.18411	406.603	3.37169	390.013	4.48797	735.586	0.762657	21.9602	2.9892	759.048	0	710.301
3.17434	248.581	0.152868	28.5142	2.6401	264.623	0.00155901	311.047	9.64396	386.968	1.37479	11.8633	4.22344	406.617	2.97384	389.587	6.01329	757.221	0.762657	22.2808	3.01574	759.048	0	710.619
3.48008	248.581	0.152868	28.5142	2.67872	264.643	0.00254512	309.342	12.3935	416.79	1.37479	12.3119	4.26276	406.626	2.58155	389.161	7.5386	807.702	0.762657	23.0116	3.04229	759.048	0	710.945
3.78581	278.018	0.152868	30.1553	2.71734	264.666	0.00409169	307.477	15.1431	407.334	1.37479	12.1714	4.30208	406.631	2.20564	388.738	9.06391	818.192	0.762657	23.1605	3.06883	759.048	0	711.278
4.09155	294.372	0.152868	31.0295	2.75596	264.695	0.00647793	305.482	17.8927	418.973	1.37479	12.3441	4.34141	406.634	1.85474	388.321	10.5892	807.702	0.762657	23.0116	3.09537	759.048	0	711.617
4.39728	291.101	0.152868	30.8566	2.79458	264.73	0.0100997	303.392	20.6423	439.339	1.37479	12.6406	4.38073	406.636	1.53506	387.911	12.1145	913.254	0.762657	24.469	3.12192	759.048	0	711.964
4.70302	297.643	0.152868	31.2014	2.8332	264.771	0.0155067	301.238	23.3919	420.064	1.37479	12.3602	4.42005	406.637	1.25043	387.51	13.6399	946.035	0.762657	24.9043	3.14846	759.048	0	712.317
5.00875	219.143	0.152868	26.7726	2.87181	264.818	0.0234459	299.052	26.1415	455.705	1.37479	12.8739	4.45938	406.637	1.0025	387.119	15.1652	946.69	0.762657	24.9129	3.175	759.048	0	712.676
5.31449	228.956	0.152868	27.3655	2.91043	264.872	0.0349102	296.865	28.891	465.889	1.37479	13.0169	4.4987	406.638	0.791052	386.738	16.6905	1008.97	0.762657	25.7193	3.20155	759.048	0	713.042
5.62023	225.685	0.152868	27.1693	2.94905	264.933	0.051189	294.706	31.6406	478.982	1.37479	13.1985	4.53802	406.638	0.614352	386.367	18.2158	1026.67	0.762657	25.944	3.22809	759.048	0	713.413
5.92596	235.497	0.152868	27.7536	2.98767	264.999	0.0739162	292.601	34.3902	492.075	1.37479	13.3777	4.57734	406.638	0.469594	386.006	19.7411	979.47	0.762657	25.3405	3.25463	759.048	0	713.791
6.2317	248.581	0.152868	28.5142	3.02629	265.071	0.105109	290.574	37.1398	488.074	1.37479	13.3232	4.61667	406.638	0.353281	385.655	21.2664	995.205	0.762657	25.5433	3.28117	759.048	0	714.174
6.53743	268.205	0.152868	29.6183	3.06491	265.148	0.14719	288.646	39.8894	486.619	1.37479	13.3034	4.65599	406.638	0.261584	385.313	22.7917	987.338	0.762657	25.4421	3.30772	759.048	0	714.563
6.84317	228.956	0.152868	27.3655	3.10352	265.228	0.202981	286.831	42.639	480.436	1.37479	13.2186	4.69531	406.638	0.190632	384.981	24.3171	967.669	0.762657	25.1874	3.33426	759.048	0	714.956
7.1489	258.393	0.152868	29.0715	3.14214	265.31	0.275658	285.145	45.3885	482.255	1.37479	13.2436	4.73464	406.638	0.136732	384.658	25.8424	1002.42	0.762657	25.6357	3.3608	759.048	0	715.354
7.45464	242.039	0.152868	28.1365	3.18076	265.393	0.368659	283.597	48.1381	485.892	1.37479	13.2934	4.77396	406.638	0.0965252	384.345	27.3677	940.134	0.762657	24.8265	3.38735	759.048	0	715.757
7.76038	264.935	0.152868	29.4372	3.21938	265.475	0.48553	282.195	50.8877	493.166	1.37479	13.3925	4.81328	406.638	0.067066	384.04	28.893	982.748	0.762657	25.3829	3.41389	759.048	0	716.165
8.06611	255.122	0.152868	28.8869	3.258	265.555	0.629717	280.944	53.6373	472.799	1.37479	13.1131	4.85261	406.638	0.0458625	383.744	30.4183	987.338	0.762657	25.4421	3.44043	759.048	0	716.577
8.37185	251.851	0.152868	28.7011	3.29662	265.632	0.804291	279.843	56.3869	486.983	1.37479	13.3083	4.89193	406.638	0.0308678	383.455	31.9436	962.425	0.762657	25.1191	3.46698	759.048	0	716.993
8.67758	232.227	0.152868	27.5602	3.33523	265.704	1.01162	278.892	59.1365	488.074	1.37479	13.3232	4.93125	406.638	0.0204478	383.174	33.4689	952.591	0.762657	24.9904	3.49352	759.048	0	717.413
8.98332	248.581	0.152868	28.5142	3.37385	265.771	1.25303	278.084	61.886	511.714	1.37479	13.6421	4.97057	406.638	0.0133315	382.901	34.9943	982.093	0.762657	25.3744	3.52006	759.048	0	717.837
9.28905	264.935	0.152868	29.4372	3.41247	265.833	1.52843	277.413	64.6356	491.347	1.37479	13.3678	5.0099	406.638	0.0085547	382.636	36.5196	906.698	0.762657	24.381	3.54661	759.048	0	718.266
9.59479	287.83	0.152868	30.6828	3.45109	265.887	1.83597	276.872	67.3852	498.257	1.37479	13.4615	5.04922	406.638	0.00540286	382.379	38.0449	949.313	0.762657	24.9474	3.57315	759.048	0	718.698
9.90053	235.497	0.152868	27.7536	3.48971	265.935	2.17182	276.45	70.1348	501.531	1.37479	13.5056	5.08854	406.638	0.00335842	382.128	39.5702	982.748	0.762657	25.3829	3.59969	759.048	0	719.133
10.2063	238.768	0.152868	27.9457	3.52833	265.977	2.53	276.135	72.8844	476.072	1.37479	13.1584	5.12787	406.638	0.00205466	381.885	41.0955	944.068	0.762657	24.8784	3.62624	759.048	0	719.572
