X_SbBe70V	Y_SbBe70V	ErrorX_SbBe70V	ErrorY_SbBe70V	X_Sb70fit	Y_Sb70fit	ErrorX_Sb70fit	ErrorY_Sb70fit	X_Sb70bkg	Y_Sb70bkg	X_YBe70V	Y_YBe70V	ErrorX_YBe70V	ErrorY_YBe70V	X_Y70fit	Y_Y70fit	ErrorX_Y70fit	ErrorY_Y70fit	X_Y70bkg	Y_Y70bkg	X_YBe25V	Y_YBe25V	ErrorX_YBe25V	ErrorY_YBe25V	X_Y25fit	Y_Y25fit	ErrorX_Y25fit	ErrorY_Y25fit	X_Y25bkg	Y_Y25bkg
2.49677	1372.82	0.0965398	69.074	2.4	1463.21	0.193467	0.000195797	2.4	300.275	3.99412	4060.55	1.21559	71.6356	2.77	3862.03	0.199365	0.0000615063	2.77	1323.23	2.91402	16357.9	0.710207	280.908	2.2	16704.6	0.134233	0.0000458355	2.2	7794.33
2.68994	1063.5	0.0965398	60.7962	2.78732	1139.05	0.193467	0.000121701	2.78732	288.336	6.44031	3561.35	1.21559	67.0879	3.16913	3955.59	0.199365	0.0000548952	3.16913	1582.59	4.34203	14848	0.710207	267.63	2.46874	16378.8	0.134233	0.0000398024	2.46874	7801.25
2.88312	914.053	0.0965398	56.3629	3.17464	945.651	0.193467	0.000183925	3.17464	269.391	8.8865	3161.99	1.21559	63.2146	3.56826	4065.73	0.199365	0.000052842	3.56826	1827.72	5.77004	14134.1	0.710207	261.116	2.73747	16114.7	0.134233	0.0000395076	2.73747	7821.28
3.07629	910.578	0.0965398	56.2557	3.56196	824.565	0.193467	0.000175384	3.56196	261.898	11.3327	3231.5	1.21559	63.9056	3.96739	3989.71	0.199365	0.0000521678	3.96739	1860.81	7.19805	13815.7	0.710207	258.158	3.00621	15900.3	0.134233	0.0000411622	3.00621	7852.3
3.26947	868.872	0.0965398	54.9523	3.94928	729.331	0.193467	0.0000989957	3.94928	261.737	13.7789	3050.78	1.21559	62.093	4.36652	3882.62	0.199365	0.0000511022	4.36652	1841.88	8.62606	13762.6	0.710207	257.662	3.27494	15723.1	0.134233	0.000043435	3.27494	7891.75
3.46265	830.642	0.0965398	53.7297	4.3366	641.147	0.193467	0.0000232941	4.3366	257.855	16.2251	3034.35	1.21559	61.9255	4.76565	3793.24	0.199365	0.0000498934	4.76565	1824.62	10.0541	13535.9	0.710207	255.531	3.54368	15570.7	0.134233	0.0000460059	3.54368	7937.32
3.65582	806.313	0.0965398	52.9371	4.72392	561.879	0.193467	0.00000936235	4.72392	247.635	18.6712	2996.44	1.21559	61.5375	5.16477	3719.24	0.199365	0.000048961	5.16477	1811.64	11.4821	13728.9	0.710207	257.346	3.81241	15433.2	0.134233	0.0000486721	3.81241	7987.1
3.849	695.098	0.0965398	49.1508	5.11124	498.337	0.193467	0.00000330262	5.11124	236.057	21.1174	2866.27	1.21559	60.186	5.5639	3655.7	0.199365	0.0000488976	5.5639	1802.05	12.9101	14302.9	0.710207	262.671	4.08115	15307.1	0.134233	0.0000511244	4.08115	8039.78
4.04218	854.97	0.0965398	54.5109	5.49857	452.671	0.193467	0.00000578383	5.49857	229.248	23.5636	2746.21	1.21559	58.912	5.96303	3600.44	0.199365	0.00004953	5.96303	1795.22	14.3381	14071.4	0.710207	260.536	4.34988	15190.6	0.134233	0.0000529784	4.34988	8094.72
4.23535	663.818	0.0965398	48.0322	5.88589	421.284	0.193467	0.0000190546	5.88589	228.803	26.0098	2705.77	1.21559	58.4766	6.36216	3551.87	0.199365	0.0000502237	6.36216	1790.75	15.7661	13656.5	0.710207	256.667	4.61862	15082.8	0.134233	0.0000541663	4.61862	8151.78
4.42853	583.882	0.0965398	45.0475	6.27321	396.207	0.193467	0.0000412686	6.27321	231.935	28.456	2782.86	1.21559	59.3038	6.76129	3508.64	0.199365	0.0000507075	6.76129	1788.36	17.1941	12841.3	0.710207	248.888	4.88735	14983.3	0.134233	0.0000547225	4.88735	8210.99
4.6217	535.225	0.0965398	43.1297	6.66053	372.619	0.193467	0.0000483502	6.66053	235.375	30.9022	2770.22	1.21559	59.169	7.16042	3469.89	0.199365	0.0000509171	7.16042	1787.91	18.6221	12508.4	0.710207	245.641	5.15609	14891.7	0.134233	0.0000547117	5.15609	8272.23
4.81488	535.225	0.0965398	43.1297	7.04785	349.414	0.193467	0.0000511943	7.04785	237.707	33.3484	2973.69	1.21559	61.3034	7.55955	3434.85	0.199365	0.0000507059	7.55955	1789.3	20.0501	11919.9	0.710207	239.793	5.42482	14807.5	0.134233	0.000054246	5.42482	8335.12
5.00806	472.666	0.0965398	40.5308	7.43517	328.049	0.193467	0.000059086	7.43517	238.894	35.7945	2760.11	1.21559	59.0609	7.95868	3402.94	0.199365	0.0000501227	7.95868	1792.53	21.4781	11953.7	0.710207	240.132	5.69356	14730	0.134233	0.0000534007	5.69356	8398.84
5.20123	500.47	0.0965398	41.7059	7.82249	313.775	0.193467	0.0000543186	7.82249	239.242	38.2407	2650.16	1.21559	57.8726	8.35781	3374.07	0.199365	0.0000492572	8.35781	1797.7	22.9062	11596.7	0.710207	236.52	5.9623	14658	0.134233	0.0000522711	5.9623	8462.31
5.39441	510.897	0.0965398	42.1381	8.20981	299.192	0.193467	0.0000449563	8.20981	239.179	40.6869	2698.18	1.21559	58.3946	8.75694	3348.35	0.199365	0.0000480673	8.75694	1805.1	24.3342	11370	0.710207	234.196	6.23103	14590.1	0.134233	0.0000509538	6.23103	8524.18
5.58758	528.274	0.0965398	42.8487	8.59713	288.52	0.193467	0.0000429499	8.59713	239.16	43.1331	2650.16	1.21559	57.8726	9.15607	3325.96	0.199365	0.0000466091	9.15607	1814.99	25.7622	11640.1	0.710207	236.962	6.49977	14524.4	0.134233	0.0000495313	6.49977	8583.06
5.78076	389.255	0.0965398	36.7811	8.98445	280.834	0.193467	0.0000500795	8.98445	239.29	45.5793	2508.62	1.21559	56.3059	9.55519	3307.06	0.199365	0.0000449861	9.55519	1827.58	27.1902	11220.4	0.710207	232.651	6.7685	14459.6	0.134233	0.0000480678	6.7685	8637.75
5.97394	396.206	0.0965398	37.1081	9.37177	274.586	0.193467	0.0000476593	9.37177	239.298	48.0255	2556.64	1.21559	56.8423	9.95432	3291.6	0.199365	0.0000432697	9.95432	1842.82	28.6182	11302.4	0.710207	233.5	7.03724	14394	0.134233	0.0000466161	7.03724	8687.17
6.16711	385.779	0.0965398	36.6165	9.75909	267.526	0.193467	0.000039658	9.75909	239.2	50.4717	2569.28	1.21559	56.9826	10.3535	3279.24	0.199365	0.0000415389	10.3535	1860.38	30.0462	11345.9	0.710207	233.948	7.30597	14326.6	0.134233	0.0000452093	7.30597	8730.69
6.36029	364.926	0.0965398	35.6132	10.1464	262.001	0.193467	0.0000293273	10.1464	239.743	52.9178	2559.17	1.21559	56.8704	10.7526	3269.34	0.199365	0.0000398776	10.7526	1879.58	31.4742	11234.9	0.710207	232.801	7.57471	14256.3	0.134233	0.0000438644	7.57471	8767.85
