X_Result	Y_Result	ErrorXhigh_Result	ErrorXlow_Result	ErrorYhigh_Result	ErrorYlow_Result	X_Uncertainty	Y_ExpStat	Y_SimStat	Y_BkgSys	Y_CutEffSys	Y_FanoSys	Y_NeutronXsecSys
0.39	0.0435803	0.003305	0.003305	0.00859725	0.00921734	0.39	0.00450636	0.0047183	0.00499212	0.00522813	0.00571165	0.00939081
0.396617	0.0437894	0.003305	0.003305	0.00860949	0.00923237	0.396617	0.00450898	0.00472103	0.0049954	0.00523185	0.00571776	0.00940684
0.403233	0.0440042	0.003305	0.003305	0.00862091	0.00924664	0.403233	0.00451087	0.00472298	0.00499796	0.00523483	0.00572321	0.00942215
0.40985	0.044218	0.003305	0.003305	0.00863209	0.00926066	0.40985	0.00451259	0.00472476	0.00500043	0.00523771	0.00572854	0.00943721
0.416466	0.0444308	0.003305	0.003305	0.00864304	0.00927444	0.416466	0.00451416	0.00472638	0.0050028	0.00524049	0.00573376	0.00945201
0.423083	0.0446426	0.003305	0.003305	0.00865378	0.00928798	0.423083	0.00451558	0.00472784	0.00500509	0.00524318	0.00573886	0.00946656
0.4297	0.0448536	0.003305	0.003305	0.00866431	0.00930129	0.4297	0.00451686	0.00472915	0.00500729	0.00524577	0.00574386	0.00948089
0.436316	0.0450636	0.003305	0.003305	0.00867464	0.00931439	0.436316	0.00451799	0.0047303	0.00500942	0.00524829	0.00574877	0.00949499
0.442933	0.0452728	0.003305	0.003305	0.00868478	0.00932728	0.442933	0.00451899	0.00473132	0.00501148	0.00525073	0.00575359	0.00950889
0.44955	0.0454812	0.003305	0.003305	0.00869473	0.00933998	0.44955	0.00451986	0.00473219	0.00501348	0.00525311	0.00575832	0.00952257
0.456166	0.0456888	0.003305	0.003305	0.00870452	0.00935248	0.456166	0.00452061	0.00473293	0.00501541	0.00525542	0.00576298	0.00953606
0.462783	0.0458956	0.003305	0.003305	0.00871413	0.0093648	0.462783	0.00452123	0.00473354	0.0050173	0.00525767	0.00576756	0.00954936
0.469399	0.0461016	0.003305	0.003305	0.00872359	0.00937694	0.469399	0.00452173	0.00473403	0.00501914	0.00525987	0.00577208	0.00956248
0.476016	0.0463069	0.003305	0.003305	0.00873289	0.00938892	0.476016	0.00452212	0.00473439	0.00502094	0.00526203	0.00577654	0.00957542
0.482633	0.0465115	0.003305	0.003305	0.00874205	0.00940074	0.482633	0.0045224	0.00473464	0.0050227	0.00526414	0.00578094	0.0095882
0.489249	0.0467154	0.003305	0.003305	0.00875107	0.0094124	0.489249	0.00452258	0.00473477	0.00502443	0.00526622	0.00578529	0.00960081
0.495866	0.0469187	0.003305	0.003305	0.00875996	0.00942392	0.495866	0.00452265	0.00473479	0.00502613	0.00526826	0.0057896	0.00961327
0.502482	0.0471212	0.003305	0.003305	0.00876872	0.00943529	0.502482	0.00452262	0.00473471	0.00502781	0.00527028	0.00579386	0.00962558
0.509099	0.0473232	0.003305	0.003305	0.00877736	0.00944653	0.509099	0.0045225	0.00473453	0.00502947	0.00527228	0.00579809	0.00963776
0.515716	0.0475245	0.003305	0.003305	0.00878589	0.00945764	0.515716	0.00452228	0.00473424	0.00503111	0.00527425	0.00580228	0.00964979
0.522332	0.0477252	0.003305	0.003305	0.0087943	0.00946862	0.522332	0.00452198	0.00473386	0.00503274	0.00527622	0.00580645	0.00966169
0.528949	0.0479253	0.003305	0.003305	0.00880262	0.00947949	0.528949	0.00452158	0.00473339	0.00503437	0.00527817	0.00581059	0.00967347
0.535566	0.0481249	0.003305	0.003305	0.00881083	0.00949024	0.535566	0.00452111	0.00473282	0.00503599	0.00528011	0.00581471	0.00968513
0.542182	0.0483239	0.003305	0.003305	0.00881894	0.00950089	0.542182	0.00452055	0.00473217	0.00503762	0.00528205	0.00581881	0.00969667
0.548799	0.0485223	0.003305	0.003305	0.00882697	0.00951143	0.548799	0.00451991	0.00473144	0.00503924	0.005284	0.0058229	0.0097081
0.555415	0.0487203	0.003305	0.003305	0.00883492	0.00952188	0.555415	0.0045192	0.00473062	0.00504088	0.00528595	0.00582698	0.00971943
0.562032	0.0489177	0.003305	0.003305	0.00884278	0.00953223	0.562032	0.00451842	0.00472972	0.00504253	0.0052879	0.00583105	0.00973066
0.568649	0.0491146	0.003305	0.003305	0.00885057	0.00954249	0.568649	0.00451757	0.00472875	0.00504418	0.00528987	0.00583512	0.00974178
0.575265	0.049311	0.003305	0.003305	0.00885828	0.00955267	0.575265	0.00451665	0.00472771	0.00504586	0.00529185	0.0058392	0.00975282
0.581882	0.049507	0.003305	0.003305	0.00886593	0.00956276	0.581882	0.00451566	0.00472659	0.00504756	0.00529385	0.00584327	0.00976377
